Calorie,Carbohydrates,Cholesterol,Fat,Fiber,Potassium,Protein,Saturated Fat,Serving Size,Sodium,Sugar,Turkish Name
27.6,6.2,0,0.2,0.9,23,1.0,0.0,100.0,1,0.0,dolmalık sarı biber
34.7,8.7,0,0.2,2.5,15,0.8,0.0,100.0,0,3.2,patlıcan
22.4,4.1,0,0.5,2.3,31,1.8,0.1,100.0,14,2.1,küçük boy karnabahar
92.7,21.0,0,0.1,2.2,70,2.5,0.0,100.0,10,1.2,orta boy patates
17.9,4.0,0,0.2,1.6,25,0.8,0.1,100.0,91,2.4,kereviz sapı
37.1,3.5,2,1.2,0.0,27,2.5,0.3,100.0,144,1.6,sıcak et suyu
89.4,23.2,0,0.3,2.6,22,1.1,0.1,100.0,1,12.3,olgun muz
635.9,13.8,0,65.0,6.9,347,15.2,5.9,100.0,1,2.5,ceviz içi
579.7,24.0,0,49.6,5.6,336,22.1,9.6,100.0,477,6.5,yer fıstığı ezmesi
124.8,28.6},0,0.4,3.9,54,2.2,0.1,100.0,3,0.3,arpa şehriye
148.7,5.4,0,14.1,1.8,22,0.8,1.9,100.0,4,3.8,közlenmiş kırmızı biber turşusu
89.4,20.8,0,0.4,1.0,17,0.6,0.1,100.0,455,18.4,kornişon turşu
93.9,21.0,0,1.5,2.4,75,3.4,0.2,100.0,1,4.6,haşlanmış mısır
29.0,9.3,0,0.3,2.7,15,1.1,0.0,100.0,2,2.5,limon
84.2,18.5},0,1.2,4.1,35,1.7,0.1,100.0,2,13.7,nar ekşisi
109.7,19.3,0,0.4,5.5,123,7.7,0.1,100.0,238,1.8,taze bakla
44.7,10.1,0,0.2,1.4,35,1.4,0.0,100.0,2,4.7,büyük boy kuru soğan
53.7,13.3},0,0.0,0.1,6,0.1,0.0,100.0,61,12.2,limonun suyu
35.0,7.3,0,0.4,3.3,65,2.4,0.1,100.0,41,1.4,brokoli
12.2,2.4,0,0.3,1.0,15,0.5,0.1,100.0,803,1.0,salatalık turşusu
93.9,21.0,0,1.5,2.4,75,3.4,0.2,100.0,1,4.6,mısır konservesi
52.6,6.5,0,3.1,1.2,17,0.9,0.4,100.0,2,4.3,közlenmiş kırmızı biber
90.1,16.7,0,0.0,0.0,19,0.5,0.0,100.0,23,14.8,balsamik sirke
603.7,21.3,0,52.7,11.1,466,21.0,3.9,100.0,490,4.6,toz badem
203.6,3.5,57,18.8,0.0,99,6.3,11.4,100.0,31,3.5,labne
542.0,60.9,8,31.9,7.0,205,4.8,18.7,100.0,24,48.3,bitter çikolata 
15.3,3.7,0,0.1,0.5,24,0.6,0.0,100.0,1,1.7,salatalık
405.2,98.6,0,0.0,0.0,2,0.0,0.0,100.0,38,63.5,nane
78.3,18.3,0,1.0,2.0,34,2.0,0.0,100.0,13,1.5,zencefil
29.6,10.6,0,0.2,2.9,17,0.7,0.0,100.0,2,1.7,lime 
92.7,21.0,0,0.1,2.2,70,2.5,0.0,100.0,10,1.2,bebek patates
166.2,0.0,85,3.5,0.0,226,31.0,1.0,100.0,72,0.0,haşlanmış tavuk göğsü
248.5,63.1,0,3.0,25.4,160,10.5,1.3,100.0,19,0.4,köy biberi
43.7,10.1,0,0.2,1.4,34,1.4,0.0,100.0,3,4.7,kırmızı soğan
6.2,0.4,2,0.2,0.0,3,0.6,0.0,100.0,372,0.4,tavuk suyu
102.7,25.1,0,1.2,13.6,106,5.0,0.0,100.0,8,0.0,taze kekik
29.6,10.6,0,0.2,2.9,17,0.7,0.0,100.0,2,1.7,misket limonu rendesi
22.4,4.1,0,0.5,2.3,31,1.8,0.1,100.0,14,2.1,karnabahar
264.9,4.2,88,21.2,0.0,335,14.2,15.0,100.0,933,4.1,yarım yağlı beyaz peynir
294.3,77.8,0,0.5,3.7,99,3.1,0.0,100.0,11,59.4,kuru üzüm
287.4,75.9,0,0.1,0.0,30,0.0,0.0,100.0,36,74.4,pekmez
15.4,2.7,0,0.4,1.0,36,1.1,0.1,100.0,2,1.7,orta boy kabak
424.6,14.0,87,27.3,0.0,639,28.4,15.4,100.0,1831,0.0,toz parmesan peyniri
0.0,0.0,0,0.0,0.0,0,0.0,0.0,100.0,38985,0.0,deniz tuzu
18.2,3.9,0,0.2,1.2,23,0.9,0.0,100.0,4,2.6,büyük boy domates
29.1,6.9,0,0.1,2.6,33,1.5,0.0,100.0,27,3.3,kırmızı lahana turşusu
374.7,68.3,0,6.6,10.0,407,13.1,1.1,100.0,5,1.0,yulaf ezmesi
236.3,61.9,0,0.6,7.5,71,3.5,0.0,100.0,10,53.9,kuru kayısı
34.7,8.7,0,0.2,2.5,15,0.8,0.0,100.0,0,3.2,bostan patlıcanı
245.3,64.1,0,3.0,24.8,158,10.5,1.3,100.0,20,0.4,sivri biber
22.0,3.2,0,1.0,0.3,9,0.4,0.1,100.0,3,2.9,badem sütü
292.9,12.7,0,0.0,0.0,6,0.0,0.0,100.0,9,12.7,vanilya özütü
43.9,8.3,0,0.7,6.9,59,3.4,0.2,100.0,30,0.0,taze nane
424.6,14.0,87,27.3,0.0,639,28.4,15.4,100.0,1831,0.0,parmesan peyniri
292.9,12.7,0,0.0,0.0,6,0.0,0.0,100.0,9,12.7,vanilya özütü 
623.8,16.7,0,61.2,9.8,288,14.8,4.5,100.0,0,4.3,çiğ fındık
52.5,0.7,0,0.2,0.0,15,11.0,0.0,100.0,168,0.7,yumurta akı
50.8,13.9,0,0.2,2.4,11,0.3,0.0,100.0,0,10.3,yeşil elma
52.6,13.7,0,0.2,2.4,11,0.3,0.0,100.0,0,10.3,kırmızı elma
27.7,6.8,0,0.2,1.2,18,0.9,0.0,100.0,1,4.4,kırmızı dolmalık biber
606.8,21.1,0,51.7,10.8,462,20.7,3.9,100.0,499,4.7,badem
376.3,102.0,0,0.0,0.0,0,0.0,0.0,100.0,0,99.6,kesme şeker
34.0,8.3,0,0.2,3.0,30,0.8,0.0,100.0,57,3.4,büyük boy havuç
79.2,14.1,0,0.3,4.5,76,5.2,0.0,100.0,72,4.4,dondurulmuş bezelye
53.7,11.7,0,0.3,5.7,72,2.9,0.1,100.0,60,1.0,ayıklanmış enginar
16.5,5.5,0,0.0,0.8,9,0.4,0.0,100.0,23,1.6,taze sıkılmış limon suyu
333.4,69.2,0,1.9,12.3,330,15.4,0.3,100.0,1,0.4,buğday
165.1,27.4,0,2.6,7.7,167,8.9,0.3,100.0,240,4.8,nohut
245.3,64.1,0,3.0,24.8,158,10.5,1.3,100.0,20,0.4,karabiber 
312.7,3.6,1074,27.0,0.0,384,15.9,9.6,100.0,47,0.6,yumurt sarısı
253.3,64.7,0,3.0,24.9,160,10.4,1.3,100.0,20,0.4,iri çekilmiş karabiber
84.3,18.8,0,0.2,4.6,40,3.1,0.0,100.0,5,0.1,bulgur
112.4,19.3,0,0.4,7.9,177,9.1,0.1,100.0,233,1.8,sarı mercimek
127.4,28.4,0,0.3,0.4,42,2.7,0.1,100.0,1,0.1,kırık pirinç
278.6,0.0,90,17.1,0.0,223,27.2,6.5,100.0,91,0.0,köftelik kıyma
78.3,18.3,0,1.0,2.0,34,2.0,0.0,100.0,13,1.5,rendelenmiş zencefil
309.4,68.0,0,3.4,22.6,299,9.6,2.0,100.0,26,3.4,zerdeçal
16.5,5.5,0,0.0,0.8,9,0.4,0.0,100.0,23,1.6,limonun suyu ve kabuğu
36.1,6.3,0,0.8,3.4,57,2.9,0.3,100.0,55,0.8,kıyılmış maydanoz
301.2,0.0,98,20.5,0.0,187,24.4,8.8,100.0,71,0.0,kuzu gerdan eti
